id	title	description	colors	months	URL	画像アドレス1	画像アドレス2	画像アドレス3	画像アドレス4	画像アドレス5	画像アドレス6	画像アドレス7	画像アドレス8	画像アドレス9	画像アドレス10	画像アドレス11
0019	アオモジ		white		https://kametorakusabana.fc2.page/aomozi/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aomoji_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aomoji_01.jpg									
0020	アオノクマタケラン	"ピックアップ　梅雨時期に咲く似たものトリオ？ゲットウ・クマタケラン・アオノクマタケランの見分け方
梅雨時期になると、奄美の林道や道端でよく目にするのが、ゲットウ（月桃）、クマタケラン（熊竹蘭）、そし...（続く）

amamikametora.blog.fc2.com"	white	5月	https://kametorakusabana.fc2.page/%e3%82%a2%e3%82%aa%e3%83%8e%e3%82%af%e3%83%9e%e3%82%bf%e3%82%b1%e3%83%a9%e3%83%b3/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/kumatakeran_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aonokumatakeran_20250530_00.jpg									
0021	アレチハナガサ	どこにでもある雑草ですが、花を細かく見るとなかなか可愛いです。	purple		https://kametorakusabana.fc2.page/aretihanagasa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aretihanagasa_00-1.jpg										
0022	アリアケカズラ（アラマンダ）		yellow		https://kametorakusabana.fc2.page/%e3%82%a2%e3%83%aa%e3%82%a2%e3%82%b1%e3%82%ab%e3%82%ba%e3%83%a9/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/ariakekazura_00.jpg										
0023	アリドオシ	"普段はトゲがたくさんある低木です。
白くて小さな花をつけます。
そして赤い実がなります。
"	white		https://kametorakusabana.fc2.page/aridooshi/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aridooshi_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aridooshi_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/aridooshi_02.jpg								
0024	アリモリソウ（有盛草）	"【分布】
・九州南部?南西諸島
・奄美群島全域（奄美大島・喜界島・徳之島ほか）
・台湾・中国南部・東南アジアにも分布

【生育環境】
・薄暗い林内、湿った渓谷沿い
・強い直射日光に弱い

【保全状況】
・鹿児島県レッドデータ：分布重要種
・林冠伐採が最大の脅威

?? 和名：アリモリソウ（有盛草）　 学名：Codonacanthus pauciflorus　 撮影：11月／住用フォレストポリス池周辺の林　 見分け：白い花冠に赤い蜜標・白色中心"	white	11月	https://kametorakusabana.fc2.page/%e3%82%a2%e3%83%aa%e3%83%a2%e3%83%aa%e3%82%bd%e3%82%a6%ef%bc%88%e6%9c%89%e7%9b%9b%e8%8d%89%ef%bc%89/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/arimorisou_202511_00.jpg										
0025	アツバアサガオ		white		https://kametorakusabana.fc2.page/atubaasagao/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/atsubaasagao_00.jpg										
0026	バショウ		yellow		https://kametorakusabana.fc2.page/bashou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/bashou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/bashou_01.jpg									
0027	ベニバナボロギク		red		https://kametorakusabana.fc2.page/%e3%83%99%e3%83%8b%e3%83%90%e3%83%8a%e3%83%9c%e3%83%ad%e3%82%ae%e3%82%af/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/benibanaborogiku_00.jpg										
0028	ベニコウガン		red	1月	https://kametorakusabana.fc2.page/benikougan/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/benikougan_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/benikougan_01.jpg									
0029	ベニニガナ		red		https://kametorakusabana.fc2.page/beninigana/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/beninigana_00.jpg										
0030	ベニテマリ		red	7月	https://kametorakusabana.fc2.page/%e3%83%99%e3%83%8b%e3%83%86%e3%83%9e%e3%83%aa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/benitemari_00.jpg										
0031	ビヨウヤナギ		yellow		https://kametorakusabana.fc2.page/biyouyanagi/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/byouyanagi_00.jpg										
0032	ボチョウジ（リュウキュウアオキ）		white	6月	https://kametorakusabana.fc2.page/%e3%83%9c%e3%83%81%e3%83%a7%e3%82%a6%e3%82%b8%ef%bc%88%e3%83%aa%e3%83%a5%e3%82%a6%e3%82%ad%e3%83%a5%e3%82%a6%e3%82%a2%e3%82%aa%e3%82%ad%ef%bc%89/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/botyouji_ryukyuuaoki_20250612_00.jpg										
0033	ブクリョウサイ		white	11月	https://kametorakusabana.fc2.page/bukuryousai/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/bukuryousai_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/bukuryousai_00.jpg									
0034	チャボイナモリ		white		https://kametorakusabana.fc2.page/chaboinamori/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/chaboinamori_04-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/chaboinamori_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/chaboinamori_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/chaboinamori_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/chaboinamori_03.jpg						
0035	チチコグサ		other		https://kametorakusabana.fc2.page/%e3%83%81%e3%83%81%e3%82%b3%e3%82%b0%e3%82%b5/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/titikogusa_00-1536x1152.jpg										
0036	ダンドク		red		https://kametorakusabana.fc2.page/dandoku/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/dandoku_00.jpg										
0037	デイゴ	2025年５月末　川商ホール（奄美文化センター）	red	5月	https://kametorakusabana.fc2.page/%e3%83%87%e3%82%a4%e3%82%b4/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/deigo_20250530_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/deigo_20250530_00.jpg									
0038	エゴノキ	2枚目は2025年6月　奄美自然観察の森　エゴノキの実	white	2月	https://kametorakusabana.fc2.page/%e3%82%a8%e3%82%b4%e3%83%8e%e3%82%ad/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/egonoki_00jpg-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/egonoki_20250612_00.jpg									
0039	エノキグサ		white		https://kametorakusabana.fc2.page/enokigusa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/enokigusa_00.jpg										
0040	フラサバソウ		purple		https://kametorakusabana.fc2.page/hurasabasou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/furasabasou_01-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/furasabasou_00.jpg									
0041	フウラン		white	7月	https://kametorakusabana.fc2.page/huuran/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/fuuran_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/fuuran_00.jpg									
0042	フウトウカズラ		other	5月	https://kametorakusabana.fc2.page/%e3%83%95%e3%82%a6%e3%83%88%e3%82%a6%e3%82%ab%e3%82%ba%e3%83%a9/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/futoukazura_20250505_00.jpg										
0043	ゲンノショウコ		red		https://kametorakusabana.fc2.page/gennoshouko/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gennoshouko_00.jpg										
0044	ゲットウ	"4枚目は、葉に斑が入った「キフゲットウ」

ピックアップ　梅雨時期に咲く似たものトリオ？ゲットウ・クマタケラン・アオノクマタケランの見分け方
梅雨時期になると、奄美の林道や道端でよく目にするのが、ゲットウ（月桃）、クマタケラン（熊竹蘭）、そし...（続く）

amamikametora.blog.fc2.com"	white	5月	https://kametorakusabana.fc2.page/gettou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gettou_20250530_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gettou_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gettou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gettou_01.jpg							
0045	ギーマ	3枚目は、2023年５月初旬　宇検	white		https://kametorakusabana.fc2.page/gi-ma/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gima_01_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gima_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gima_01.jpg								
0046	ギンネム		white		https://kametorakusabana.fc2.page/ginnemu/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/ginnnemu_01.jpg										
0047	ゴモジュ	４月になると赤い実ができる	white		https://kametorakusabana.fc2.page/gomoju/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gomojyu_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gomojyu_20250430_00.jpg									
0048	ゴンズイ	"2枚目は、2025年10月　須野ダム

?? 和名：ゴンズイ（権萃）　 学名：Euscaphis japonica (Thunb.) Kanitz　 撮影：**月／林床　花はまだ見ていない。赤い実は10月。　 見分け：花弁*枚・白中心　花はまだ見ていない。"	other		https://kametorakusabana.fc2.page/gonzui/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gonzui_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gonzui_202510_00.jpg									
0049	ゴールデンシャワー		yellow	7月	https://kametorakusabana.fc2.page/%e3%82%b4%e3%83%bc%e3%83%ab%e3%83%87%e3%83%b3%e3%82%b7%e3%83%a3%e3%83%af%e3%83%bc/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/goldenshower_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/goldenshower_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/goldenshower_02.jpg								
0050	グアバ（ばんしろう）		white	5月	https://kametorakusabana.fc2.page/guaba/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/guaba_00-1536x1152.jpg										
0051	グンバイヒルガオ		red	"6月,7月"	https://kametorakusabana.fc2.page/gunbaihirugao/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gunbaihirugao_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/ginbaihirugao_20250612_00.jpg									
0052	グンバイナズナ		white		https://kametorakusabana.fc2.page/gunbainazuna/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gunbainazuna_00-1536x1152.jpg										
0053	グラジオラス		red	5月	https://kametorakusabana.fc2.page/%e3%82%b0%e3%83%a9%e3%82%b8%e3%82%aa%e3%83%a9%e3%82%b9/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gladiolus_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gurajiorasu_20250507_00.jpg									
0054	ギョクシンカ	"1枚目は、2018年6月　金作原
2枚目は、2025年5月"	white	"5月,6月"	https://kametorakusabana.fc2.page/gyokusinka/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gyokushinka_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/gyokuisnnka_202505_00.jpg									
0055	ハダカホオズキ		yellow		https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%80%e3%82%ab%e3%83%9b%e3%82%aa%e3%82%ba%e3%82%ad/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hadakahoozuki_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hadakahoozuki_01.jpg									
0056	ハハコグサ		yellow		https://kametorakusabana.fc2.page/hahakogusa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hahakogusa_00-1536x1152.jpg										
0057	ハイキンゴジカ	3枚目は、2025年5月	yellow	"5月,7月"	https://kametorakusabana.fc2.page/haikingozika/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haikingojika_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haikingojika_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haikinngojika_202505_00.jpg								
0058	ハイマキハギ	2025年5月　あやまる岬	purple	5月	https://kametorakusabana.fc2.page/%e3%83%8f%e3%82%a4%e3%83%9e%e3%82%ad%e3%83%8f%e3%82%ae/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haimakiehagi_20250530_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haimakiehagi_20250530_00.jpg									
0059	ハカマカズラ		green		https://kametorakusabana.fc2.page/%e3%83%8f%e3%82%ab%e3%83%9e%e3%82%ab%e3%82%ba%e3%83%a9/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hakamakazura_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hakamakazura_01-1536x1152.jpg									
0060	ハコベ		white		https://kametorakusabana.fc2.page/hakobe/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hakobe_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hakobe_01-1536x1152.jpg									
0061	ハマアズキ	"2枚目は、2022年2月中旬　まだ蕾から開きかけ
3枚目は、2025年4月"	yellow	"2月,3月,4月"	https://kametorakusabana.fc2.page/hamaazuki/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaazuki_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaazuki_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaazuki_20250428_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaazuki_20250428_03-1536x1152.jpg							
0062	ハマボッス		white		https://kametorakusabana.fc2.page/hamabossu/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamabossu_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamabossu_01.jpg									
0063	ハマダイコン		purple	4月	https://kametorakusabana.fc2.page/hamadaikon/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamadaikon_00-1-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamadaikon_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamadaikon_20250425_00.jpg								
0064	ハマゴウ		purple	7月	https://kametorakusabana.fc2.page/hamagou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamagou_03.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamagou_00-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamagou_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamagou_02.jpg							
0065	ハマヒルガオ		red		https://kametorakusabana.fc2.page/hamahirugao/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamahirugao_01.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamahirugao_00.jpg									
0066	ハマヒサカキ		white		https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%9e%e3%83%92%e3%82%b5%e3%82%ab%e3%82%ad/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamahisakaki_00-1-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamahisakaki_00-1536x1152.jpg									
0067	ハママンネングサ		yellow		https://kametorakusabana.fc2.page/hamamannengusa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamamannengusa_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamamannengusa_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamamannengusa_01-1536x1152.jpg								
0068	ハマナタマメ		red		https://kametorakusabana.fc2.page/hamanatamame/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamanatamame_00.jpg										
0069	ハマニンドウ	2023年5月初旬	white		https://kametorakusabana.fc2.page/hamanindou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamanindou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamanindou_01.jpg									
0070	ハマセンダン	?? 和名：ハマセンダン　 学名：Tetradium glabrifolium (Champ. ex Benth.) T.G.Hartley var. glaucum (Miq.) T.Yamaz.　 撮影：10月／須野ダムの林　 見分け：白色中心	white	10月	https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%9e%e3%82%bb%e3%83%b3%e3%83%80%e3%83%b3/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamasendan_00.jpg										
0071	ハマトラノオ		purple		https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%9e%e3%83%88%e3%83%a9%e3%83%8e%e3%82%aa/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamatoranoo_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamatoranoo_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamatoranoo_03-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamatoranoo_01.jpg							
0072	ハマウド		white	4月	https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%9e%e3%82%a6%e3%83%89/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamaudo_01.jpg										
0073	ハマユウ（ハマオモト）		white		https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%9e%e3%83%a6%e3%82%a6%ef%bc%88%e3%83%8f%e3%83%9e%e3%82%aa%e3%83%a2%e3%83%88%ef%bc%89/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hamayu_01.jpg										
0074	ハナイバナ		purple		https://kametorakusabana.fc2.page/hanaibana/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanaibana_00-1-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanaibana_02-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanaibana_01-1536x1152.jpg								
0075	ハナシュクシャ		white	7月	https://kametorakusabana.fc2.page/hanashukusha/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanashukusha_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanashukusha_01-1536x1152.jpg									
0076	ハナタデ		white		https://kametorakusabana.fc2.page/hanatade/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanatade_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hanatade_01-1536x1152.jpg									
0077	ハンゲショウ		white		https://kametorakusabana.fc2.page/%e3%83%8f%e3%83%b3%e3%82%b2%e3%82%b7%e3%83%a7%e3%82%a6/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hangeshou_00.jpg										
0078	ハリツルマサキ	?? 和名：ハリツルマサキ（針蔓正木）　 学名：Gymnosporia diversifolia Maxim.　 撮影：10月11月／大東諸島を除く奄美群島から先島諸島にかけて分布。果実の形状がハート型であることから、「ハートツリー」という名称で鉢植え品が市販されている。　 見分け：花の直径は3～5 mm、単生（一つずつ咲く）するか、または腋生（葉の付け根から出る）の短い総状花序を形成・白色	white	"10月,11月"	https://kametorakusabana.fc2.page/hariturumasaki/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haritsurumasaki_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haritsurumasaki_02-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haritsurumasaki_03.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/haritsurumasaki_01.jpg							
0079	ハルジオン（ハルジョオン）		red	4月	https://kametorakusabana.fc2.page/haruzion/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/harushion_00-1536x1152.jpg										
0080	ハシカンボク		"red,white"	"10月,11月,12月"	https://kametorakusabana.fc2.page/hashikanboku/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hashikanboku_00-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hashikanboku_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hashikanboku_02-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hashikanboku_03-1536x1152.jpg							
0081	ハスノハカズラ		other		https://kametorakusabana.fc2.page/hasunokazura/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hasunokazura_01-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hasunohakazura_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hasunohakazura_02-1536x1152.jpg								
0082	ヘクソカズラ		red	"7月,8月,9月,10月"	https://kametorakusabana.fc2.page/hekusokazura/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hekusokazura_00-1536x1152.jpg										
0083	ヘツカリンドウ		"green,purpl"		https://kametorakusabana.fc2.page/hetukarindou/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_00.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_07-1536x1152.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_06.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_05.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_04-1.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_02.jpg	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/hetsukarindou_01.jpg				
0084	ヒガンバナ（彼岸花）		red		https://kametorakusabana.fc2.page/%e3%83%92%e3%82%ac%e3%83%b3%e3%83%90%e3%83%8a%ef%bc%88%e5%bd%bc%e5%b2%b8%e8%8a%b1%ef%bc%89/	https://kametorakusabana.fc2.page/wordpress/wp-content/uploads/higanbana_00.jpg										
